,weather,scenario,status
0,clear,ghost_cutin,Completed
1,cloudy,ghost_cutin,Completed
2,rain,ghost_cutin,Completed
3,snow,ghost_cutin,Completed
4,clear,ghost_cutin,Completed
5,cloudy,ghost_cutin,Completed
6,rain,ghost_cutin,Completed
7,snow,ghost_cutin,Completed
8,clear,ghost_cutin,Completed
9,cloudy,ghost_cutin,Completed
10,rain,ghost_cutin,Completed
11,snow,ghost_cutin,Completed
12,clear,ghost_cutin,Completed
13,cloudy,ghost_cutin,Completed
14,rain,ghost_cutin,Completed
15,snow,ghost_cutin,Completed
16,clear,ghost_cutin,Completed
17,cloudy,ghost_cutin,Completed
18,rain,ghost_cutin,Completed
19,snow,ghost_cutin,Failed -- Simulator crashed
20,clear,ghost_cutin,Completed
21,cloudy,ghost_cutin,Completed
22,rain,ghost_cutin,Completed
23,snow,ghost_cutin,Completed
24,clear,ghost_cutin,Completed
25,cloudy,ghost_cutin,Completed
26,rain,ghost_cutin,Completed
27,snow,ghost_cutin,Completed
28,clear,ghost_cutin,Completed
29,cloudy,ghost_cutin,Completed
30,rain,ghost_cutin,Completed
31,snow,ghost_cutin,Failed -- Accident
32,clear,ghost_cutin,Completed
33,cloudy,ghost_cutin,Completed
34,rain,ghost_cutin,Completed
35,snow,ghost_cutin,Completed
36,clear,ghost_cutin,Completed
37,cloudy,ghost_cutin,Completed
38,rain,ghost_cutin,Completed
39,snow,ghost_cutin,Completed
40,clear,ghost_cutin,Completed
41,cloudy,ghost_cutin,Completed
42,rain,ghost_cutin,Completed
43,snow,ghost_cutin,Completed
44,clear,ghost_cutin,Completed
45,cloudy,ghost_cutin,Completed
46,rain,ghost_cutin,Completed
47,snow,ghost_cutin,Completed
48,clear,ghost_cutin,Completed
49,cloudy,ghost_cutin,Completed
50,rain,ghost_cutin,Completed
51,snow,ghost_cutin,Completed
52,clear,ghost_cutin,Completed
53,cloudy,ghost_cutin,Completed
54,rain,ghost_cutin,Completed
55,snow,ghost_cutin,Completed
56,clear,ghost_cutin,Completed
57,cloudy,ghost_cutin,Failed -- Accident
58,rain,ghost_cutin,Completed
59,snow,ghost_cutin,Completed
60,clear,ghost_cutin,Completed
61,cloudy,ghost_cutin,Completed
62,rain,ghost_cutin,Completed
63,snow,ghost_cutin,Completed
64,clear,ghost_cutin,Completed
65,cloudy,ghost_cutin,Completed
66,rain,ghost_cutin,Completed
67,snow,ghost_cutin,Completed
68,clear,ghost_cutin,Completed
69,cloudy,ghost_cutin,Completed
70,rain,ghost_cutin,Completed
71,snow,ghost_cutin,Completed
72,clear,ghost_cutin,Completed
73,cloudy,ghost_cutin,Completed
74,rain,ghost_cutin,Completed
75,snow,ghost_cutin,Completed
76,clear,ghost_cutin,Completed
77,cloudy,ghost_cutin,Completed
78,rain,ghost_cutin,Completed
79,snow,ghost_cutin,Failed -- Accident
80,clear,ghost_cutin,Completed
81,cloudy,ghost_cutin,Completed
82,rain,ghost_cutin,Completed
83,snow,ghost_cutin,Completed
84,clear,ghost_cutin,Completed
85,cloudy,ghost_cutin,Completed
86,rain,ghost_cutin,Completed
87,snow,ghost_cutin,Completed
88,clear,ghost_cutin,Completed
89,cloudy,ghost_cutin,Completed
90,rain,ghost_cutin,Completed
91,snow,ghost_cutin,Completed
92,clear,ghost_cutin,Completed
93,cloudy,ghost_cutin,Completed
94,rain,ghost_cutin,Completed
95,snow,ghost_cutin,Completed
96,clear,ghost_cutin,Failed -- Simulator crashed
97,cloudy,ghost_cutin,Completed
98,rain,ghost_cutin,Completed
99,snow,ghost_cutin,Failed -- Accident
100,clear,ghost_cutin,Completed
101,cloudy,ghost_cutin,Completed
102,rain,ghost_cutin,Completed
103,snow,ghost_cutin,Completed
104,clear,ghost_cutin,Completed
105,cloudy,ghost_cutin,Completed
106,rain,ghost_cutin,Failed -- Accident
107,snow,ghost_cutin,Failed -- Accident
108,clear,ghost_cutin,Completed
109,cloudy,ghost_cutin,Completed
110,rain,ghost_cutin,Completed
111,snow,ghost_cutin,Failed -- Accident
112,clear,ghost_cutin,Completed
113,cloudy,ghost_cutin,Completed
114,rain,ghost_cutin,Completed
115,snow,ghost_cutin,Failed -- Accident
116,clear,ghost_cutin,Completed
117,cloudy,ghost_cutin,Completed
118,rain,ghost_cutin,Completed
119,snow,ghost_cutin,Completed
120,clear,ghost_cutin,Completed
121,cloudy,ghost_cutin,Completed
122,rain,ghost_cutin,Completed
123,snow,ghost_cutin,Failed -- Accident
124,clear,ghost_cutin,Completed
125,cloudy,ghost_cutin,Completed
126,rain,ghost_cutin,Completed
127,snow,ghost_cutin,Completed
128,clear,ghost_cutin,Completed
129,cloudy,ghost_cutin,Completed
130,rain,ghost_cutin,Completed
131,snow,ghost_cutin,Completed
132,clear,ghost_cutin,Completed
133,cloudy,ghost_cutin,Completed
134,rain,ghost_cutin,Completed
135,snow,ghost_cutin,Completed
136,clear,ghost_cutin,Completed
137,cloudy,ghost_cutin,Failed -- Accident
138,rain,ghost_cutin,Failed -- Accident
139,snow,ghost_cutin,Completed
140,clear,ghost_cutin,Completed
141,cloudy,ghost_cutin,Completed
142,rain,ghost_cutin,Completed
143,snow,ghost_cutin,Completed
